"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"46",656887,"Sean Reid-Foley","636","7.2","0.261","0.283","0.310","0.543","0.336","0.249","0.196","12","46","87.5","11.9","2108","89.7","90.67","12","44","2","1.0","6.86","107","150","116","146","294","311","289"
"46",573668,"Juan Minaya","910","5.1","0.152","0.109","0.200","0.261","0.175","0.178","0.176","7","46","87.5","15.9","2086","91.9","92.30","13","44","2","0.4","6.48","111","147","113","143","300","321","296"
"46",518858,"Nate Jones","515","8.9","0.205","0.159","0.233","0.364","0.235","0.321","0.261","9","44","87.1","13.7","2343","94.0","93.01","12","45","1","-1.0","5.73","109","147","113","147","291","305","297"
"45",592473,"Adam Kolarek","504","8.9","0.273","0.114","0.324","0.386","0.275","0.211","0.180","12","44","86.5","4.4","2173","87.9","87.14","8","45","0","-0.8","6.16","112","151","112","147","291","317","289"
"45",641712,"Dakota Hudson","433","10.4","0.222","0.044","0.278","0.267","0.212","0.240","0.246","10","45","84.8","-1.8","2288","93.4","93.92","5","41","4","0.5","6.41","111","147","107","148","300","321","303"
"45",593144,"Richard Rodriguez","1133","4.0","0.159","0.136","0.231","0.295","0.190","0.200","0.177","7","44","85.2","15.0","2316","88.9","89.06","13","41","4","0.2","6.42","110","150","112","148","296","321","293"
"44",518715,"Cory Gearrin","948","4.6","0.250","0.091","0.303","0.341","0.255","0.246","0.222","11","44","88.8","14.4","2433","88.2","86.96","7","41","3","-1.2","5.62","106","148","110","147","298","316","296"
"44",476589,"Adam Warren","989","4.4","0.318","0.159","0.382","0.477","0.340","0.348","0.308","14","44","89.5","16.5","2240","87.1","86.65","8","43","1","-0.5","5.87","109","153","112","146","294","323","294"
"44",624427,"Stephen Gonsalves","510","8.6","0.318","0.091","0.368","0.409","0.313","0.379","0.358","14","44","90.0","21.2","2073","86.2","86.98","3","41","3","0.8","6.71","102","150","115","146","298","325","292"
"44",450212,"Pat Neshek","370","11.9","0.238","0.119","0.250","0.357","0.248","0.192","0.192","10","42","84.1","17.7","2138","85.0","84.42","6","44","0","-0.6","5.91","107","152","113","147","292","320","292"
"44",606273,"Roenis Elias","829","5.3","0.295","0.068","0.394","0.364","0.284","0.292","0.285","13","44","86.8","17.4","2386","88.4","86.54","7","40","4","-1.9","5.22","110","154","115","148","291","320","295"
"43",477569,"Fernando Salas","663","6.5","0.256","0.077","0.290","0.333","0.243","0.230","0.207","10","39","85.0","19.4","2048","87.8","87.22","9","43","0","-0.6","5.93","104","149","109","150","302","325","298"
"43",606167,"Adalberto Mejia","357","12.0","0.220","0.000","0.243","0.220","0.189","0.259","0.248","9","41","81.4","14.2","2421","89.4","88.39","4","42","1","-1.0","5.63","104","145","113","143","294","319","290"
"43",607968,"Drew Rucinski","562","7.7","0.233","0.140","0.257","0.372","0.257","0.241","0.232","10","43","86.2","7.4","2026","90.8","91.22","7","43","0","0.4","6.47","106","147","111","148","304","329","304"
"42",458006,"Matt Albers","673","6.2","0.325","0.375","0.310","0.700","0.407","0.346","0.269","13","40","87.6","13.7","2100","90.8","90.97","8","41","1","0.2","6.43","108","150","114","149","302","318","291"
